sponsor,db_no
"ACT, Inc.",DB 2784
AHCA/NCAL Solutions LLC,DB 3860
Akzo Nobel Industrial Coatings,DB 3392
Alfred P. Sloan Foundation,DB 568_2022
Alliance for Sustainable Energy LLC,"DB 1857, DB 1894, DB 2371"
American Association of Retired Persons,DB 170
American Chemical Society,DB 1792
American College of Veterinary Surgeons Foundation,DB 3271
American Councils for International Education,DB 3479
American Farmland Trust,DB 3164
American Forest Foundation,DB 1083
American Hearing Research Foundation,DB 2300
American Horse Council,DB 2797
American Institute of Steel Construction,"DB 1954, DB 1173"
American Kennel Club Canine Health Foundation,"DB 1831, DB 2186"
American Veterinary Medical Association,DB 684
AmeriCorps,"DB 972, DB 649"
Ames National Laboratory,"DB 1320_2023, DB 2015, DB 4174, DB 1855"
"Applied Research Associates, Inc.","DB 2238, DB 2930"
Aqua Libre Energieentwicklungs GmbH,DB 3029
Arauco,DB 3244
Arbor Wood Co. LLC,DB 877
"ARCTOS Technology Solutions, LLC",DB 1828
Argonne National Lab,"DB 1917, DB 3421, DB 1028"
Arizona State University,"DB 3371, DB 125, DB 1862_2023"
Asante,DB 2894
ASEE,DB 2488
Aspen Environmental Group,"DB 102, DB 103_2024"
Association of Public and Land Grant Universities,DB 1704
Astronomical Society of the Pacific,DB 695
Atkins Nuclear Secured,DB 448
Auckland Uniservices Limited,DB 3590
Australian Research Council,"DB 2147, DB 2516"
Automatic Radio Frequency Techniques Group,DB 3078
BAE Systems,DB 787_2025
Baker County,DB 3511
Ball Aerospace,"DB 3934, DB 4165"
Barzilai Medical Center,DB 2020
Bat Conservation International,DB 2814
Battelle - INL,"DB 2111, DB 2082, DB 2865, DB 3509, DB 3534, DB 490, DB 690, DB 1987, DB 2948, DB 2979, DB 3010, DB 3429, DB 859, DB 1164_2024, DB 715"
Battelle - PNNL,"DB 2207, DB 2117, DB 2817, DB 899, DB 940, DB 2191, DB 2384, DB 2544, DB 87, DB 2918_2021, DB 141, DB 3108, DB 2120, DB 2483, DB 2799_2021, DB 3184, DB 3891, DB 643, DB 635, DB 1099, DB 3354, DB 3410, DB 4267, DB 580_2023, DB 2247, DB 2559_2024, DB 2815, DB 655, DB 732_2024, DB 1208, DB 4339"
Battelle Energy Alliance,DB 3272
Battelle Memorial Institute,"DB 55, DB 2525_2024"
BBRSC,DB 732
Beijing Forestry University,DB 871
Bend/Lapine School District,DB 981_2024
Bentley University,DB 1141
Berkeley Air Monitoring Group,DB 2595
Bermuda Institute of Ocean Sciences,DB 1631
Biology Center CAS,DB 1946_2023
Boeing,DB 2037
Boston University,DB 1487
Brigham Young University,"DB 2756, DB 3074"
British Antarctic Survey,"DB 3571_2025, DB 242_2025"
Bureau of Land Management,"DB 2796, DB 2718, DB 374, DB 1622, DB 1624, DB 2688, DB 2812, DB 2934, DB 2230, DB 2339, DB 3735, DB 1350, DB 3500"
Cal Tech - Jet Propulsion Laboratory,"DB 2527, DB 3300_2023"
California Board of Forestry and Fire Protection,DB 293
California Dept of Fish and Wildlife,"DB 223, DB 3283, DB 2336_2023"
California Dept of Food and Agriculture,"DB 555_2024, DB 1089, DB 1229"
California Ocean Protection Council,"DB 2201, DB 2202"
CalTrans,"DB 5047, DB 1666"
Cardiff University,"DB 94, DB 469"
Carnegie Mellon University,DB 1443
"Cascade Timber Consulting, Inc.",DB 3402
CDC,"DB 484, DB 540"
CEACATS,DB 2700_2020
CEAZA Center,DB 3893
Center for Construction Research,DB 0946
Center for the Advancement of Science in Space,DB 1599
Centers for Disease Control,DB 4328
Centers for Medicare and Medicaid Services,DB 3561_2025
Central Lincoln People's Utility District,DB 3229
Central Oregon Community College,DB 1754
Central Oregon Health Council,DB 2866
Central Washington University,DB 417
CentralSquare Technologies,DB 174
CEREG,"DB 14, DB 2879"
"CH2M Hill, Inc.","DB 2151, DB 2152"
Chemeketa Community College,DB 3341
City of Portland,"DB 2026, DB 2236"
City of Portland Water Bureau,DB 3165
"Cobb-Vantress, LLC",DB 889
Collins Pine Company,DB 4479
Colorado Plateau Cooperative Ecosystem Studies Unit,"DB 585, DB 3879"
Colorado School of Mines,DB 1810
Colorado State University,DB 3100
Columbia River Inter-Tribal Fish Commission,DB 2731
Columbia University,"DB 2534, DB 1847, DB 1946, DB 2972, DB 493"
Comagine Health,DB 3965
Community Health and Social Services Center,"DB 2124, DB 2860"
Confederated Tribes of Coos,"DB 2220, DB 929"
Confederated Tribes of the Umatilla Indian Reservation,DB 90
